name,size
C1_A_H358CAP-40-2156.mzXML,12486734
C1_B_H358CAP-40-2158.mzXML,13329792
C2_A_H358CAP-40-2161.mzXML,12855724
C2_B_H358CAP-40-2164.mzXML,12311051
C3_A_H358CAP-40-2173.mzXML,12270600
C3_B_H358CAP-40-2177.mzXML,12537699
D1_A_H358CAP-40-2180.mzXML,12726666
D1_B_H358CAP-40-2183.mzXML,12742999
D2_A_H358CAP-40-2186.mzXML,12691628
D2_B_H358CAP-40-2189.mzXML,12599510
D3_A_H358CAP-40-2192.mzXML,12616279
D3_B_H358CAP-40-2195.mzXML,12135088
Narla_794_A549_D1_1_073013.mzXML,17754329
Narla_794_A549_D1_2_073013.mzXML,18267255
Narla_794_A549_D2_1_073013.mzXML,16506730
Narla_794_A549_D2_2_073013.mzXML,17957473
Narla_794_A549_D3_1_073013.mzXML,18210860
Narla_794_A549_D3_2_073013.mzXML,18302613
