Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides CRC1	Peptides CRC10	Peptides CRC2	Peptides CRC3	Peptides CRC4	Peptides CRC5	Peptides CRC6	Peptides CRC7	Peptides CRC8	Peptides CRC9	Peptides NMT1	Peptides NMT10	Peptides NMT2	Peptides NMT3	Peptides NMT4	Peptides NMT5	Peptides NMT6	Peptides NMT7	Peptides NMT8	Peptides NMT9	Razor + unique peptides CRC1	Razor + unique peptides CRC10	Razor + unique peptides CRC2	Razor + unique peptides CRC3	Razor + unique peptides CRC4	Razor + unique peptides CRC5	Razor + unique peptides CRC6	Razor + unique peptides CRC7	Razor + unique peptides CRC8	Razor + unique peptides CRC9	Razor + unique peptides NMT1	Razor + unique peptides NMT10	Razor + unique peptides NMT2	Razor + unique peptides NMT3	Razor + unique peptides NMT4	Razor + unique peptides NMT5	Razor + unique peptides NMT6	Razor + unique peptides NMT7	Razor + unique peptides NMT8	Razor + unique peptides NMT9	Unique peptides CRC1	Unique peptides CRC10	Unique peptides CRC2	Unique peptides CRC3	Unique peptides CRC4	Unique peptides CRC5	Unique peptides CRC6	Unique peptides CRC7	Unique peptides CRC8	Unique peptides CRC9	Unique peptides NMT1	Unique peptides NMT10	Unique peptides NMT2	Unique peptides NMT3	Unique peptides NMT4	Unique peptides NMT5	Unique peptides NMT6	Unique peptides NMT7	Unique peptides NMT8	Unique peptides NMT9	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type CRC1	Identification type CRC10	Identification type CRC2	Identification type CRC3	Identification type CRC4	Identification type CRC5	Identification type CRC6	Identification type CRC7	Identification type CRC8	Identification type CRC9	Identification type NMT1	Identification type NMT10	Identification type NMT2	Identification type NMT3	Identification type NMT4	Identification type NMT5	Identification type NMT6	Identification type NMT7	Identification type NMT8	Identification type NMT9	Sequence coverage CRC1 [%]	Sequence coverage CRC10 [%]	Sequence coverage CRC2 [%]	Sequence coverage CRC3 [%]	Sequence coverage CRC4 [%]	Sequence coverage CRC5 [%]	Sequence coverage CRC6 [%]	Sequence coverage CRC7 [%]	Sequence coverage CRC8 [%]	Sequence coverage CRC9 [%]	Sequence coverage NMT1 [%]	Sequence coverage NMT10 [%]	Sequence coverage NMT2 [%]	Sequence coverage NMT3 [%]	Sequence coverage NMT4 [%]	Sequence coverage NMT5 [%]	Sequence coverage NMT6 [%]	Sequence coverage NMT7 [%]	Sequence coverage NMT8 [%]	Sequence coverage NMT9 [%]	Intensity	Intensity CRC1	Intensity CRC10	Intensity CRC2	Intensity CRC3	Intensity CRC4	Intensity CRC5	Intensity CRC6	Intensity CRC7	Intensity CRC8	Intensity CRC9	Intensity NMT1	Intensity NMT10	Intensity NMT2	Intensity NMT3	Intensity NMT4	Intensity NMT5	Intensity NMT6	Intensity NMT7	Intensity NMT8	Intensity NMT9	iBAQ peptides	iBAQ	iBAQ CRC1	iBAQ CRC10	iBAQ CRC2	iBAQ CRC3	iBAQ CRC4	iBAQ CRC5	iBAQ CRC6	iBAQ CRC7	iBAQ CRC8	iBAQ CRC9	iBAQ NMT1	iBAQ NMT10	iBAQ NMT2	iBAQ NMT3	iBAQ NMT4	iBAQ NMT5	iBAQ NMT6	iBAQ NMT7	iBAQ NMT8	iBAQ NMT9	LFQ intensity CRC1	LFQ intensity CRC10	LFQ intensity CRC2	LFQ intensity CRC3	LFQ intensity CRC4	LFQ intensity CRC5	LFQ intensity CRC6	LFQ intensity CRC7	LFQ intensity CRC8	LFQ intensity CRC9	LFQ intensity NMT1	LFQ intensity NMT10	LFQ intensity NMT2	LFQ intensity NMT3	LFQ intensity NMT4	LFQ intensity NMT5	LFQ intensity NMT6	LFQ intensity NMT7	LFQ intensity NMT8	LFQ intensity NMT9	MS/MS count CRC1	MS/MS count CRC10	MS/MS count CRC2	MS/MS count CRC3	MS/MS count CRC4	MS/MS count CRC5	MS/MS count CRC6	MS/MS count CRC7	MS/MS count CRC8	MS/MS count CRC9	MS/MS count NMT1	MS/MS count NMT10	MS/MS count NMT2	MS/MS count NMT3	MS/MS count NMT4	MS/MS count NMT5	MS/MS count NMT6	MS/MS count NMT7	MS/MS count NMT8	MS/MS count NMT9	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Phospho (STY) site IDs	Oxidation (M) site positions	Phospho (STY) site positions	Taxonomy IDs
Q9BYX7;P63261;P60709;Q562R1;P63267;P68133;P68032;P62736;Q6S8J3;A5A3E0	Q9BYX7;P63261;P60709;Q562R1;P63267;P68133;P68032;P62736;Q6S8J3;A5A3E0	1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1	Putative beta-actin-like protein 3;Putative beta-actin-like protein 3, N-terminally processed;Actin, cytoplasmic 2;Actin, cytoplasmic 2, N-terminally processed;Actin, cytoplasmic 1;Actin, cytoplasmic 1, N-terminally processed;Beta-actin-like protein 2;Actin, gamma-enteric smooth muscle;Actin, alpha skeletal muscle;Actin, alpha cardiac muscle 1;Actin, aortic smooth muscle;POTE ankyrin domain family member E;POTE ankyrin domain family member F	POTEKP;ACTG1;ACTB;ACTBL2;ACTG2;ACTA1;ACTC1;ACTA2;POTEE;POTEF	sp|Q9BYX7|ACTBM_HUMAN Putative beta-actin-like protein 3 OS=Homo sapiens OX=9606 GN=POTEKP PE=5 SV=1;sp|P63261|ACTG_HUMAN Actin, cytoplasmic 2 OS=Homo sapiens OX=9606 GN=ACTG1 PE=1 SV=1;sp|P60709|ACTB_HUMAN Actin, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=A	10	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	4.8	4.8	4.8	42.016	375	375;375;375;376;376;377;377;377;1075;1075	0.017544	0.45898												By matching					By matching	By MS/MS	By matching	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	4.8	0	0	0	0	4.8	4.8	4.8	4.8	3296200	0	0	0	0	0	0	0	0	0	0	0	436630	0	0	0	0	628570	710440	818480	702100	18	183120	0	0	0	0	0	0	0	0	0	0	0	24257	0	0	0	0	34921	39469	45471	39005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	702100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	3				0	154	True	157	751;752;753;754;755	577;578;579	577					9606;9606;9606;9606;9606;9606;9606;9606;9606;9606
A6NED2	A6NED2	1	1	1	RCC1 domain-containing protein 1	RCCD1	sp|A6NED2|RCCD1_HUMAN RCC1 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=RCCD1 PE=1 SV=1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	4.3	4.3	4.3	40.078	376	376	1	-2											By matching		By matching	By MS/MS	By matching						0	0	0	0	0	0	0	0	0	0	4.3	0	4.3	4.3	4.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+			1	10	True	10	64;65;66;67	67	67		77;139;140		366;367;369	9606
B6SEH8;B6SEH9	B6SEH8;B6SEH9	1;1	1;1	1;1	Endogenous retrovirus group V member 1 Env polyprotein;Endogenous retrovirus group V member 2 Env polyprotein	ERVV-1;ERVV-2	sp|B6SEH8|ERVV1_HUMAN Endogenous retrovirus group V member 1 Env polyprotein OS=Homo sapiens OX=9606 GN=ERVV-1 PE=2 SV=1;sp|B6SEH9|ERVV2_HUMAN Endogenous retrovirus group V member 2 Env polyprotein OS=Homo sapiens OX=9606 GN=ERVV-2 PE=2 SV=1	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1.7	1.7	1.7	52.557	477	477;535	0.028571	0.97893																				By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1				2	83	True	84	358	215	215					9606;9606
CON__P05787;P05787	CON__P05787;P05787	2;2	2;2	2;2	Keratin, type II cytoskeletal 8	KRT8	;sp|P05787|K2C8_HUMAN Keratin, type II cytoskeletal 8 OS=Homo sapiens OX=9606 GN=KRT8 PE=1 SV=7	2	2	2	2	1	0	1	0	1	0	0	0	1	0	1	1	2	0	0	0	1	2	2	2	1	0	1	0	1	0	0	0	1	0	1	1	2	0	0	0	1	2	2	2	1	0	1	0	1	0	0	0	1	0	1	1	2	0	0	0	1	2	2	2	4.3	4.3	4.3	53.704	483	483;483	0.018182	0.51504	By matching		By matching		By matching				By matching		By matching	By MS/MS	By matching				By matching	By MS/MS	By MS/MS	By MS/MS	2.1	0	2.1	0	2.3	0	0	0	2.1	0	2.3	2.3	4.3	0	0	0	2.3	4.3	4.3	4.3	2616900	26399	0	24966	0	15738	0	0	0	115850	0	27000	246880	51563	0	0	0	313470	608680	649800	536530	29	90237	910.33	0	860.91	0	542.69	0	0	0	3994.9	0	931.03	8513.1	1778	0	0	0	10809	20989	22407	18501	0	0	0	0	0	0	0	0	0	0	0	0	127800	0	0	0	0	846530	474840	397400	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	1	5			+	3	89;140	True;True	90;143	374;375;376;377;378;379;380;381;680;681;682;683;684;685;686	221;222;223;534;535	222;534					-1;9606
CON__P08727;P08727	CON__P08727;P08727	1;1	1;1	1;1	Keratin, type I cytoskeletal 19	KRT19	;sp|P08727|K1C19_HUMAN Keratin, type I cytoskeletal 19 OS=Homo sapiens OX=9606 GN=KRT19 PE=1 SV=4	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	1	5.8	5.8	5.8	44.091	400	400;400	0.038462	1.4797												By MS/MS		By matching			By MS/MS		By matching	By matching	0	0	0	0	0	0	0	0	0	0	0	5.8	0	5.8	0	0	5.8	0	5.8	5.8	1510800	0	0	0	0	0	0	0	0	0	0	0	313240	0	27416	0	0	399870	0	402530	367750	31	48736	0	0	0	0	0	0	0	0	0	0	0	10105	0	884.38	0	0	12899	0	12985	11863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	367750	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2			+	4	163	True	166	800;801;802;803;804	634;635	634					-1;9606
CON__Q28194;P07996	CON__Q28194;P07996	1;1	1;1	1;1	Thrombospondin-1	THBS1	;sp|P07996|TSP1_HUMAN Thrombospondin-1 OS=Homo sapiens OX=9606 GN=THBS1 PE=1 SV=2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	0.9	0.9	0.9	129.39	1170	1170;1170	0.019231	0.55399												By matching					By MS/MS	By matching	By MS/MS	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0.9	0.9	0.9	0.9	1652400	0	0	0	0	0	0	0	0	0	0	0	202780	0	0	0	0	292440	399790	428130	329220	63	26228	0	0	0	0	0	0	0	0	0	0	0	3218.8	0	0	0	0	4641.9	6345.8	6795.8	5225.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	329220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	4			+	5	53	True	54	250;251;252;253;254	160;161;162;163	163					-1;9606
Q99666;O14715	Q99666;O14715	1;1	1;1	1;1	RANBP2-like and GRIP domain-containing protein 5/6;RANBP2-like and GRIP domain-containing protein 8	RGPD5;RGPD8	sp|Q99666|RGPD5_HUMAN RANBP2-like and GRIP domain-containing protein 5/6 OS=Homo sapiens OX=9606 GN=RGPD5 PE=1 SV=3;sp|O14715|RGPD8_HUMAN RANBP2-like and GRIP domain-containing protein 8 OS=Homo sapiens OX=9606 GN=RGPD8 PE=1 SV=2	2	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	198.92	1765	1765;1765	0.017857	0.48818							By MS/MS														0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				6	11	True	11	68	68	68		0;1		1542;1544	9606;9606
O15173	O15173	1	1	1	Membrane-associated progesterone receptor component 2	PGRMC2	sp|O15173|PGRC2_HUMAN Membrane-associated progesterone receptor component 2 OS=Homo sapiens OX=9606 GN=PGRMC2 PE=1 SV=1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.6	7.6	7.6	23.818	223	223	1	-2	By MS/MS		By matching	By matching	By matching																7.6	0	7.6	7.6	7.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+			7	61	True	62	280;281;282;283	179	179		2		134	9606
O15372	O15372	1	1	1	Eukaryotic translation initiation factor 3 subunit H	EIF3H	sp|O15372|EIF3H_HUMAN Eukaryotic translation initiation factor 3 subunit H OS=Homo sapiens OX=9606 GN=EIF3H PE=1 SV=1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.4	3.4	3.4	39.93	352	352	0.0090909	0.16788						By MS/MS															0	0	0	0	0	3.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				8	156	True	159	764	581;582	581		141		167	9606
O15498	O15498	1	1	1	Synaptobrevin homolog YKT6	YKT6	sp|O15498|YKT6_HUMAN Synaptobrevin homolog YKT6 OS=Homo sapiens OX=9606 GN=YKT6 PE=1 SV=1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5.6	5.6	5.6	22.417	198	198	1	-2														By MS/MS							0	0	0	0	0	0	0	0	0	0	0	0	0	5.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+			9	97	True	98	414	244	244		3;142		7;10	9606
